Compound,Date,Negative,Neutral,News,Positive,Tweets Ago
0.0,2018-03-29 08:37:38+00:00,1.0,0.0,CNN,0.0,48
0.0,2018-03-29 08:24:44+00:00,1.0,0.0,CNN,0.0,49
0.0,2018-03-29 08:14:30+00:00,1.0,0.0,CNN,0.0,50
-0.3182,2018-03-29 07:51:06+00:00,0.892,0.108,CNN,0.0,51
0.0,2018-03-29 07:41:04+00:00,1.0,0.0,CNN,0.0,52
0.5719,2018-03-29 07:40:05+00:00,0.709,0.0,CNN,0.291,53
-0.765,2018-03-29 07:22:05+00:00,0.577,0.423,CNN,0.0,54
-0.7845,2018-03-29 07:15:02+00:00,0.588,0.341,CNN,0.071,55
0.5267,2018-03-29 06:55:24+00:00,0.455,0.182,CNN,0.364,56
-0.5574,2018-03-29 06:43:06+00:00,0.854,0.146,CNN,0.0,57
0.2263,2018-03-29 06:42:21+00:00,0.675,0.135,CNN,0.19,58
0.0,2018-03-29 06:31:05+00:00,1.0,0.0,CNN,0.0,59
0.0,2018-03-29 06:24:05+00:00,1.0,0.0,CNN,0.0,60
0.5267,2018-03-29 06:16:59+00:00,0.455,0.182,CNN,0.364,61
-0.5267,2018-03-29 06:10:06+00:00,0.707,0.212,CNN,0.082,62
0.0,2018-03-29 06:07:33+00:00,1.0,0.0,CNN,0.0,63
0.0,2018-03-29 06:01:02+00:00,1.0,0.0,CNN,0.0,64
0.0,2018-03-29 05:50:05+00:00,1.0,0.0,CNN,0.0,65
-0.5106,2018-03-29 05:46:06+00:00,0.829,0.171,CNN,0.0,66
-0.7906,2018-03-29 05:46:06+00:00,0.667,0.333,CNN,0.0,67
0.4497,2018-03-29 05:31:05+00:00,0.871,0.0,CNN,0.129,68
0.5719,2018-03-29 05:16:06+00:00,0.81,0.0,CNN,0.19,69
0.6486,2018-03-29 05:01:02+00:00,0.823,0.0,CNN,0.177,70
0.6808,2018-03-29 04:46:03+00:00,0.752,0.0,CNN,0.248,71
0.0,2018-03-29 04:31:03+00:00,1.0,0.0,CNN,0.0,72
0.34,2018-03-29 04:16:02+00:00,0.87,0.0,CNN,0.13,73
0.0258,2018-03-29 04:08:07+00:00,0.948,0.0,CNN,0.052,74
0.0,2018-03-29 04:01:07+00:00,1.0,0.0,CNN,0.0,75
0.1531,2018-03-29 03:46:06+00:00,0.918,0.0,CNN,0.082,76
0.4588,2018-03-29 03:31:04+00:00,0.85,0.0,CNN,0.15,77
0.0,2018-03-29 03:24:05+00:00,1.0,0.0,CNN,0.0,78
0.0,2018-03-29 03:16:03+00:00,1.0,0.0,CNN,0.0,79
-0.6597,2018-03-29 03:09:05+00:00,0.82,0.18,CNN,0.0,80
0.0,2018-03-29 03:05:07+00:00,1.0,0.0,CNN,0.0,81
-0.296,2018-03-29 03:01:09+00:00,0.723,0.175,CNN,0.102,82
0.0,2018-03-29 03:01:08+00:00,1.0,0.0,CNN,0.0,83
0.0,2018-03-29 03:01:08+00:00,1.0,0.0,CNN,0.0,84
0.3612,2018-03-29 02:46:07+00:00,0.815,0.0,CNN,0.185,85
0.0,2018-03-29 02:31:04+00:00,1.0,0.0,CNN,0.0,86
-0.3164,2018-03-29 02:22:48+00:00,0.902,0.098,CNN,0.0,87
0.2732,2018-03-29 02:22:29+00:00,0.84,0.0,CNN,0.16,88
